campaign_id,total_impressions,total_clicks,total_spend,total_conversions,CTR,CPA
CMP016,13686317849.0,375883156.0,393677129.85999995,20410131.0,0.0275,19.29
CMP032,13707961325.0,376277379.0,395003523.04,20469062.0,0.0274,19.3
CMP049,13678441909.0,375790166.0,393822976.9,20408613.0,0.0275,19.3
CMP034,13663387190.0,375490759.0,394029600.32000005,20403716.0,0.0275,19.31
CMP004,13705584584.0,376906722.0,395992597.4000001,20491770.0,0.0275,19.32
CMP040,13707493063.0,376364561.0,395064372.66,20444877.0,0.0275,19.32
CMP022,13703365735.0,377109904.0,395899684.64,20480486.0,0.0275,19.33
CMP023,13657508417.0,375769033.0,394203576.87,20390213.0,0.0275,19.33
CMP024,13665607452.0,375614418.0,394482754.56,20406008.0,0.0275,19.33
CMP045,13689842314.0,376256850.0,394756303.7299999,20424317.0,0.0275,19.33
