campaign_id,total_impressions,total_clicks,total_spend,total_conversions,CTR,CPA
CMP001,13702609739,376766821,395825252.09999967,20450945,0.0275,19.35
CMP002,13687848269,375990241,394650595.8200003,20390946,0.0275,19.35
CMP003,13684916614,376066601,394816516.20000005,20403114,0.0275,19.35
CMP004,13705584584,376906722,395992597.4000002,20491770,0.0275,19.32
CMP005,13648608306,375627610,394780333.95999974,20403485,0.0275,19.35
CMP006,13704884631,376403367,395789810.5700002,20459696,0.0275,19.34
CMP007,13668313927,375232652,393925238.25999993,20364686,0.0275,19.34
CMP009,13684413796,376236572,395053678.55,20424492,0.0275,19.34
CMP010,13699272787,376409406,395739460.6599997,20412776,0.0275,19.39
CMP011,13714973625,377330481,396309000.78,20463005,0.0275,19.37
